codF,GivenName,Surname,StreetAddress,TelephoneNumber,Birthday,EmailAddress
DVDRNI57T41F205L,Ireneo,Davide,"Via Giulio Petroni 12, Milano, MI",0388 3413085,1957-12-01,IreneoDavide@rhyta.com
BCCDRT73M11F205V,Dorotea,Buccho,"Via Zannoni 83, Milano, MI",0397 6012727,1973-08-11,DoroteaBuccho@superrito.com
GRCGTT66H54F205V,Gianetto,Greece,"Via Agostino Depretis 83, Milano, MI",0366 6979224,1966-06-14,GianettoGreece@einrot.com
GLLMRN93D46F205G,Marina,Gallo,"Via Nazario Sauro 17, Milano, MI",0317 8592943,1993-04-06,MarinaGallo@rhyta.com
CNTVRN80T31F205D,Veneranda,Conti,"Via Croce Rossa 149, Milano, MI",0379 2855449,1980-12-31,VenerandaConti@einrot.com
LCCRME59R11F205A,Remo,Lucchese,"Via Rosmini 33, Milano, MI",0336 9600918,1959-10-11,RemoLucchese@jourrapide.com
FRRMTN67T58F205E,Martino,Ferri,"Via Castelfidardo 83, Milano, MI",0371 0516050,1967-12-18,MartinoFerri@cuvox.de
DLLSVT55L69F205L,Salvatore,Dellucci,"Via del Piave 108, Milano, MI",0310 3590146,1955-07-29,SalvatoreDellucci@jourrapide.com
SGSLSE62T23F205Q,Elsa,Sagese,"Via Bonafous Alfonso 49, Milano, MI",0395 1226521,1962-12-23,ElsaSagese@cuvox.de
DLLLVI96D46F205X,Livia,Dellucci,"Corso Garibaldi 57, Milano, MI",0326 8321203,1996-04-06,LiviaDellucci@fleckens.hu
BLLNNF88L04F205M,Ninfa,Bellucci,"Via Giberti 55, Milano, MI",0347 7986675,1988-07-04,NinfaBellucci@teleworm.us
GRCLVE91D07F205B,Elvia,Greece,"Piazza San Carlo 116, Milano, MI",0364 2410500,1991-04-07,ElviaGreece@superrito.com
LFNPNC99E12F205E,Principio,Li Fonti,"Via Callicratide 83, Milano, MI",0372 0231579,1999-05-12,PrincipioLiFonti@teleworm.us
TRVRFN52D12F205F,Rufino,Trevisan,"Via Giovanni Amendola 6, Milano, MI",0327 4320472,1952-04-12,RufinoTrevisan@dayrep.com
PGNSLL68S46F205J,Isabella,Pagnotto,"Via Nolana 112, Milano, MI",0364 8698408,1968-11-06,IsabellaPagnotto@einrot.com
PGNMRN73E16F205A,Marina,Pagnotto,"Corso Alcide De Gasperi 80, Milano, MI",0333 4363510,1973-05-16,MarinaPagnotto@einrot.com
MLNCCT57E59F205X,Concetta,Milanesi,"Via Santa Teresa degli Scalzi 54, Milano, MI",0361 2394119,1957-05-19,ConcettaMilanesi@rhyta.com
MRNRRT65T02F205F,Roberto,Marino,"Via Lombardi 107, Milano, MI",0315 9699980,1965-12-02,RobertoMarino@superrito.com
SBBFDR51A57F205Y,Fedro,Sabbatini,"Via Capo le Case 47, Milano, MI",0355 1133356,1951-01-17,FedroSabbatini@einrot.com
NDRBTE69C13F205G,Beato,Endrizzi,"Via Sergente Maggiore 43, Milano, MI",0320 9919843,1969-03-13,BeatoEndrizzi@dayrep.com
NCCGRD57A08F205D,Gerardino,Nucci,"Via dei Fiorentini 15, Milano, MI",0394 9168546,1957-01-08,GerardinoNucci@teleworm.us
RSSMRO55T59F205X,Omero,Russo,"Via Santa Maria di Costantinopoli 119, Milano, MI",0375 1990309,1955-12-19,OmeroRusso@cuvox.de
BLLFBR68E11F205P,Filiberto,Bellucci,"Piazzetta Concordia 110, Milano, MI",0320 5135729,1968-05-11,FilibertoBellucci@cuvox.de
CLBLVC97T24F205L,Lodovico,Calabrese,"Via Colonnello Galliano 84, Milano, MI",0317 1401597,1997-12-24,LodovicoCalabrese@jourrapide.com
NGLDND73S59F205H,Edmondo,Angelo,"Piazza Giuseppe Garibaldi 38, Milano, MI",0343 8742864,1973-11-19,EdmondoAngelo@dayrep.com
CSTLNS83S13F205V,Alfonsino,Costa,"Piazza Bovio 139, Milano, MI",0363 2033019,1983-11-13,AlfonsinoCosta@dayrep.com
PSNNLC00M70F205G,Angelico,Pisani,"Via Sergente Maggiore 99, Milano, MI",0326 8259676,2000-08-30,AngelicoPisani@fleckens.hu
PLRPTL00P61F205R,Pantaleone,Palerma,"Via Santa Maria di Costantinopoli 64, Milano, MI",0324 3423920,2000-09-21,PantaleonePalerma@dayrep.com
CCCGGR50B09F205D,Gregorio,Cocci,"Via Medina 120, Milano, MI",0326 6078148,1950-02-09,GregorioCocci@armyspy.com
MNLVND74P05F205J,Violanda,Monaldo,"Corso Porta Borsari 37, Milano, MI",0347 6023681,1974-09-05,ViolandaMonaldo@cuvox.de
TRVRSL55M55F205C,Rosalia,Trevisano,"Corso Porta Nuova 72, Milano, MI",0331 5138178,1955-08-15,RosaliaTrevisano@cuvox.de
LGGGMN58L24F205R,Germano,Loggia,"Via Silvio Spaventa 116, Milano, MI",0386 3715164,1958-07-24,GermanoLoggia@einrot.com
CTTLNZ48C62F205U,Lorenzo,Cattaneo,"Piazza Mercato 43, Milano, MI",0373 8876518,1948-03-22,LorenzoCattaneo@einrot.com
MRNMLL74C31F205E,Mirella,Marino,"Via del Mascherone 61, Milano, MI",0317 8389493,1974-03-31,MirellaMarino@dayrep.com
PGLCLL87D11F205J,Cirilla,Pugliesi,"Via Zannoni 18, Milano, MI",0379 9105115,1987-04-11,CirillaPugliesi@einrot.com
